Country;Year;Series;Value
Aruba;2019;Population density;590.6333
Australia;2005;Population mid-year estimates (millions);20.1785
Australia;2005;Population mid-year estimates for males (millions);10.0701
Australia;2005;Population mid-year estimates for females (millions);10.1085
Australia;2005;Sex ratio (males per 100 females);99.6201
Australia;2005;Population aged 0 to 14 years old (percentage);19.8148
Australia;2005;Population aged 60+ years old (percentage);17.4165
Australia;2005;Population density;2.6266
Australia;2010;Population mid-year estimates (millions);22.1547
Australia;2010;Population mid-year estimates for males (millions);11.0794
Australia;2010;Population mid-year estimates for females (millions);11.0753
Australia;2010;Sex ratio (males per 100 females);100.0366
Australia;2010;Population aged 0 to 14 years old (percentage);19.0323
Australia;2010;Population aged 60+ years old (percentage);18.8436
Australia;2010;Population density;2.8839
Australia;2017;Population mid-year estimates (millions);24.5846
Australia;2017;Population mid-year estimates for males (millions);12.2436
Australia;2017;Population mid-year estimates for females (millions);12.3410
Australia;2017;Sex ratio (males per 100 females);99.2113
Australia;2017;Population aged 0 to 14 years old (percentage);19.0650
Australia;2017;Population aged 60+ years old (percentage);20.8116
Australia;2017;Population density;3.2002
Australia;2017;Surface area (thousand km2);7692.0600
Australia;2019;Population mid-year estimates (millions);25.2032
Australia;2019;Population mid-year estimates for males (millions);12.5513
Australia;2019;Population mid-year estimates for females (millions);12.6519
Australia;2019;Sex ratio (males per 100 females);99.2050
Australia;2019;Population aged 0 to 14 years old (percentage);19.2754
Australia;2019;Population aged 60+ years old (percentage);21.4395
Australia;2019;Population density;3.2807
Austria;2005;Population mid-year estimates (millions);8.2537
Austria;2005;Population mid-year estimates for males (millions);4.0121
Austria;2005;Population mid-year estimates for females (millions);4.2416
Austria;2005;Sex ratio (males per 100 females);94.5884
Austria;2005;Population aged 0 to 14 years old (percentage);15.9718
Austria;2005;Population aged 60+ years old (percentage);22.0952
Austria;2005;Population density;100.1547
Austria;2010;Population mid-year estimates (millions);8.4099
Austria;2010;Population mid-year estimates for males (millions);4.0986
Austria;2010;Population mid-year estimates for females (millions);4.3113
Austria;2010;Sex ratio (males per 100 females);95.0674
Austria;2010;Population aged 0 to 14 years old (percentage);14.7167
Austria;2010;Population aged 60+ years old (percentage);23.2676
Austria;2010;Population density;102.0513
Austria;2017;Population mid-year estimates (millions);8.8199
Austria;2017;Population mid-year estimates for males (millions);4.3302
Austria;2017;Population mid-year estimates for females (millions);4.4897
Austria;2017;Sex ratio (males per 100 females);96.4470
Austria;2017;Population aged 0 to 14 years old (percentage);14.2309
Austria;2017;Population aged 60+ years old (percentage);24.7457
Austria;2017;Population density;107.0259
Austria;2017;Surface area (thousand km2);83.8710
Austria;2019;Population mid-year estimates (millions);8.9551
Austria;2019;Population mid-year estimates for males (millions);4.4094
Austria;2019;Population mid-year estimates for females (millions);4.5457
Austria;2019;Sex ratio (males per 100 females);97.0005
Austria;2019;Population aged 0 to 14 years old (percentage);14.3619
Austria;2019;Population aged 60+ years old (percentage);25.3214
Austria;2019;Population density;108.6666
Azerbaijan;2005;Population mid-year estimates (millions);8.5386
Azerbaijan;2005;Population mid-year estimates for males (millions);4.2068
Azerbaijan;2005;Population mid-year estimates for females (millions);4.3318
Azerbaijan;2005;Sex ratio (males per 100 females);97.1145
Azerbaijan;2005;Population aged 0 to 14 years old (percentage);26.2295
Azerbaijan;2005;Population aged 60+ years old (percentage);8.5210
Azerbaijan;2005;Population density;103.3004
Azerbaijan;2010;Population mid-year estimates (millions);9.0325
Azerbaijan;2010;Population mid-year estimates for males (millions);4.4751
Azerbaijan;2010;Population mid-year estimates for females (millions);4.5574
Azerbaijan;2010;Sex ratio (males per 100 females);98.1945
Azerbaijan;2010;Population aged 0 to 14 years old (percentage);22.8353
Azerbaijan;2010;Population aged 60+ years old (percentage);8.1149
Azerbaijan;2010;Population density;109.2751
Azerbaijan;2017;Population mid-year estimates (millions);9.8453
Azerbaijan;2017;Population mid-year estimates for males (millions);4.9074
Azerbaijan;2017;Population mid-year estimates for females (millions);4.9379
Azerbaijan;2017;Sex ratio (males per 100 females);99.3816
Azerbaijan;2017;Population aged 0 to 14 years old (percentage);23.2877
Azerbaijan;2017;Population aged 60+ years old (percentage);10.0693
Azerbaijan;2017;Population density;119.1091
Azerbaijan;2017;Surface area (thousand km2);86.6000
Azerbaijan;2019;Population mid-year estimates (millions);10.0477
Azerbaijan;2019;Population mid-year estimates for males (millions);5.0158
Azerbaijan;2019;Population mid-year estimates for females (millions);5.0319
Azerbaijan;2019;Sex ratio (males per 100 females);99.6810
Azerbaijan;2019;Population aged 0 to 14 years old (percentage);23.4419
Azerbaijan;2019;Population aged 60+ years old (percentage);11.0734
Azerbaijan;2019;Population density;121.5577
Bahamas;2005;Population mid-year estimates (millions);0.3249
Bahamas;2005;Population mid-year estimates for males (millions);0.1578
Bahamas;2005;Population mid-year estimates for females (millions);0.1671
Bahamas;2005;Sex ratio (males per 100 females);94.4324
Bahamas;2005;Population aged 0 to 14 years old (percentage);28.1091
Bahamas;2005;Population aged 60+ years old (percentage);8.6268
Bahamas;2005;Population density;32.4534
Bahamas;2010;Population mid-year estimates (millions);0.3549
Bahamas;2010;Population mid-year estimates for males (millions);0.1720
Bahamas;2010;Population mid-year estimates for females (millions);0.1829
Bahamas;2010;Sex ratio (males per 100 females);94.0294
Bahamas;2010;Population aged 0 to 14 years old (percentage);26.8838
Bahamas;2010;Population aged 60+ years old (percentage);9.0071
Bahamas;2010;Population density;35.4587
Bahamas;2017;Population mid-year estimates (millions);0.3818
Bahamas;2017;Population mid-year estimates for males (millions);0.1854
Bahamas;2017;Population mid-year estimates for females (millions);0.1964
Bahamas;2017;Sex ratio (males per 100 females);94.4079
Bahamas;2017;Population aged 0 to 14 years old (percentage);22.8741
Bahamas;2017;Population aged 60+ years old (percentage);10.8991
Bahamas;2017;Population density;38.1374
Bahamas;2017;Surface area (thousand km2);13.9400
Bahamas;2019;Population mid-year estimates (millions);0.3895
Bahamas;2019;Population mid-year estimates for males (millions);0.1892
Bahamas;2019;Population mid-year estimates for females (millions);0.2003
Bahamas;2019;Sex ratio (males per 100 females);94.4940
Bahamas;2019;Population aged 0 to 14 years old (percentage);22.0757
Bahamas;2019;Population aged 60+ years old (percentage);11.7305
Bahamas;2019;Population density;38.9093
Bahrain;2005;Population mid-year estimates (millions);0.8892
Bahrain;2005;Population mid-year estimates for males (millions);0.5341
Bahrain;2005;Population mid-year estimates for females (millions);0.3550
Bahrain;2005;Sex ratio (males per 100 females);150.4548
Bahrain;2005;Population aged 0 to 14 years old (percentage);25.6844
Bahrain;2005;Population aged 60+ years old (percentage);3.4373
Bahrain;2005;Population density;1169.9526
Bahrain;2010;Population mid-year estimates (millions);1.2409
Bahrain;2010;Population mid-year estimates for males (millions);0.7741
Bahrain;2010;Population mid-year estimates for females (millions);0.4668
Bahrain;2010;Sex ratio (males per 100 females);165.8161
Bahrain;2010;Population aged 0 to 14 years old (percentage);20.3116
Bahrain;2010;Population aged 60+ years old (percentage);3.5461
Bahrain;2010;Population density;1632.7105
Bahrain;2017;Population mid-year estimates (millions);1.4941
Bahrain;2017;Population mid-year estimates for males (millions);0.9399
Bahrain;2017;Population mid-year estimates for females (millions);0.5542
Bahrain;2017;Sex ratio (males per 100 females);169.5785
Bahrain;2017;Population aged 0 to 14 years old (percentage);19.8415
Bahrain;2017;Population aged 60+ years old (percentage);4.6051
Bahrain;2017;Population density;1965.8895
Bahrain;2017;Surface area (thousand km2);0.7710
Bahrain;2019;Population mid-year estimates (millions);1.6412
Bahrain;2019;Population mid-year estimates for males (millions);1.0548
Bahrain;2019;Population mid-year estimates for females (millions);0.5864
Bahrain;2019;Sex ratio (males per 100 females);179.8868
Bahrain;2019;Population aged 0 to 14 years old (percentage);18.7187
Bahrain;2019;Population aged 60+ years old (percentage);5.1096
Bahrain;2019;Population density;2159.4368
Bangladesh;2005;Population mid-year estimates (millions);139.0355
Bangladesh;2005;Population mid-year estimates for males (millions);71.2216
Bangladesh;2005;Population mid-year estimates for females (millions);67.8139
Bangladesh;2005;Sex ratio (males per 100 females);105.0251
Bangladesh;2005;Population aged 0 to 14 years old (percentage);34.3646
Bangladesh;2005;Population aged 60+ years old (percentage);6.6508
Bangladesh;2005;Population density;1068.1071
Bangladesh;2010;Population mid-year estimates (millions);147.5754
Bangladesh;2010;Population mid-year estimates for males (millions);75.0157
Bangladesh;2010;Population mid-year estimates for females (millions);72.5597
Bangladesh;2010;Sex ratio (males per 100 females);103.3847
Bangladesh;2010;Population aged 0 to 14 years old (percentage);31.9869
Bangladesh;2010;Population aged 60+ years old (percentage);7.0118
Bangladesh;2010;Population density;1133.7131
Bangladesh;2017;Population mid-year estimates (millions);159.6854
Bangladesh;2017;Population mid-year estimates for males (millions);80.8691
